0,1,0,1,1,1
1,1,1,0,1,1
2,1,2,0,1,1
3,1,1,0,1,1
4,1,2,1,1,1
5,1,1,0,1,1
6,1,0,0,1,1
7,1,1,0,1,1
8,1,3,0,1,1
9,1,0,0,1,1
10,1,0,0,1,1
11,1,2,0,1,1
12,1,2,1,1,1
13,1,2,0,1,1
14,1,0,0,1,1
15,1,1,0,1,1
16,1,1,0,1,1
17,1,1,0,1,1
18,1,1,1,1,1
19,1,0,1,1,1
20,1,1,0,1,1
21,1,2,0,1,1
22,1,1,0,1,1
23,1,2,0,1,1
24,1,0,0,1,1
25,0,2,1,1,0
26,0,1,0,1,0
27,0,1,0,1,0
28,0,0,0,1,0
29,0,0,1,1,0
30,0,0,0,1,0
31,0,1,0,1,0
32,0,0,0,1,0
33,0,2,0,1,0
34,0,2,0,1,0
35,0,1,0,1,0
36,0,0,0,1,0
37,0,0,0,1,0
38,0,0,0,1,0
39,0,0,0,1,0
40,0,0,0,1,0
41,0,0,0,1,0
42,0,1,0,1,0
43,0,1,1,1,0
44,0,0,0,1,0
45,0,3,1,1,0
46,0,1,0,1,0
47,0,0,0,1,0
48,0,4,0,1,0
49,0,0,0,1,0
50,0,1,0,1,0
51,0,1,0,1,0
52,0,1,0,1,0
53,0,3,0,1,0
54,0,0,0,1,0
55,0,2,0,1,0
56,0,1,0,1,0
57,0,0,0,1,0
58,0,1,0,1,0
59,0,0,0,1,0
60,0,1,0,1,0
61,0,1,0,1,0
62,0,1,1,1,0
63,0,1,0,1,0
64,0,2,1,1,0
65,0,2,0,1,0
66,0,3,0,1,0
67,0,1,0,1,0
68,0,0,0,1,0
69,0,1,0,1,0
70,0,0,0,1,0
71,0,0,0,1,0
72,0,1,0,1,0
73,0,1,2,1,0
74,0,0,0,1,0
75,0,1,0,1,0
76,0,1,1,1,0
77,0,0,1,1,0
78,0,1,0,1,0
79,0,0,0,1,0
80,0,0,0,1,0
81,0,0,1,1,0
82,0,1,2,1,0
83,1,2,0,2,1
84,1,0,0,2,1
85,0,0,0,2,0
86,0,0,0,2,0
87,0,1,0,2,0
88,0,1,0,2,0
89,0,0,0,2,0
90,0,0,0,2,0
91,0,2,1,2,0
92,0,0,0,2,0
93,0,0,0,2,0
94,0,1,0,2,0
95,0,0,0,2,0
96,0,2,1,2,0
97,0,0,0,2,0
98,0,0,0,2,0
99,0,1,0,2,0
100,0,0,0,2,0
101,0,1,0,2,0
102,0,2,1,2,0
103,0,2,0,2,0
104,0,2,0,2,0
105,0,2,0,2,0
106,0,3,0,2,0
107,0,1,0,2,0
